1,1,508
2,1,6
3,1,569
4,1,163
5,1,720
6,1,324
7,1,895
8,1,534
9,1,134
10,1,907
11,1,45
12,1,46
13,1,75
14,1,689
15,1,74
16,1,450
17,1,966
18,1,398
19,1,556
20,1,706
21,1,150
22,1,255
23,1,197
24,1,912
25,1,921
26,1,794
27,1,858
28,1,190
29,1,383
30,1,369
31,1,158
32,1,992
33,1,644
34,1,635
35,1,849
36,1,161
37,1,975
38,1,88
39,1,864
40,1,96
41,1,121
42,1,351
43,1,699
44,1,746
45,1,902
46,1,848
47,1,914
48,1,969
49,1,494
50,1,883
51,1,302
52,1,499
53,1,681
54,1,479
55,1,738
56,1,89
57,1,162
58,1,469
59,1,755
60,1,104
61,1,484
62,1,433
63,1,321
64,1,481
65,1,503
66,1,991
67,1,471
68,1,90
69,1,565
70,1,782
71,1,918
72,1,982
73,1,574
74,1,768
75,1,875
76,1,385
77,1,719
78,1,179
79,1,541
80,1,557
81,1,71
82,1,564
83,1,118
84,1,987
85,1,325
86,1,107
87,1,717
88,1,639
89,1,423
90,1,252
91,1,200
92,1,585
93,1,292
94,1,763
95,1,483
96,1,445
97,1,809
98,1,747
99,1,803
100,1,537
101,1,707
102,1,828
103,1,119
104,1,700
105,1,305
106,1,735
107,1,258
108,1,808
109,1,995
110,1,604
111,1,997
112,1,165
113,1,632
114,1,435
115,1,68
116,1,906
117,1,270
118,1,502
119,1,724
120,1,144
121,1,576
122,1,890
123,1,602
124,1,212
125,1,715
126,1,393
127,1,638
128,1,304
129,1,964
130,1,721
131,1,64
132,1,44
133,1,723
134,1,932
135,1,442
136,1,749
137,1,811
138,1,330
139,1,826
140,1,662
141,1,117
142,1,447
143,1,492
144,1,610
145,1,109
146,1,640
147,1,146
148,1,394
149,1,909
150,1,457
151,1,320
152,1,860
153,1,338
154,1,522
155,1,949
156,1,278
157,1,702
158,1,575
159,1,189
160,1,863
161,1,439
162,1,905
163,1,857
164,1,951
165,1,916
166,1,695
167,1,421
168,1,667
169,1,658
170,1,110
171,1,349
172,1,568
173,1,210
174,1,282
175,1,598
176,1,882
177,1,920
178,1,83
179,1,428
180,1,643
181,1,891
182,1,696
183,1,937
184,1,204
